Header," (缩写)"," 公式"," 格式"," 解释定义",
EXPECTED_RATIO_P_D," R",R=0.2,浮点数 表示比例," 目前假定的身心消耗平衡比例  暂定为4分钟的精神活动  对应1分钟的身体活动",
Timestamp,,," %Y-%m-%d %H:%M  采用ISO 8601标准的时间戳",记录的是activity结束的时间.,
Activity,,,名称," 刚刚完成的活动",
Next,(N),,名称," 马上开始的活动",
Duration,(D)," last_Timestamp-current_Timestamp",浮点数 分钟," 从上个活动到新活动之间的时间 ",
RatioP,(r),r=P/D,浮点数 表示比例," 活动的身体工作量和总时间的比例",
NeedP,(n),n=D*(1-2r)," 浮点数 可能会出现负值 以P分钟为基础(根据R=4  M=0.25P) ",身心消耗差异值 通常情况是伏案工作过久 以需要的身体运动为正值,
TotalP,(t)," t=last_t+n",开始时(调用start指令时) 以初始状态的NeedP为初始值.,积累的身心消耗差异值,
Mental Expenditure,(M),M=D-D*r," 浮点数 分钟",精神消耗的时间,
Physical Expenditure,(P),P=D*r," 浮点数 分钟",身体消耗的时间,
Feeling Notes/Efficiency Notes/Other Notes,,,任何内容," 一些备注  请根据情况需要进行填写",
Log Notes,,,任何内容," 本地python存储和验算你的输出时可能提供的反馈",
NextRatioP,(Nr),Nr=nP/nD,浮点数 表示比例," 本地python存储和验算你的输出时可能提供的反馈.",
NextD,(ND),ND=t/(2Nr-1)," 浮点数 分钟"," Expected Next Activity Duration for MP close to 0  health and balance",
